FirstName0 LastName0  assistant 63326.05
FirstName1 LastName1  associate 73725.58
FirstName2 LastName2  full 114445.58
FirstName3 LastName3  assistant 68711.12
FirstName4 LastName4  full 113768.47
FirstName5 LastName5  associate 90178.87
FirstName6 LastName6  associate 87304.55
FirstName7 LastName7  associate 107126.07
FirstName8 LastName8  assistant 69895.42
FirstName9 LastName9  associate 60809.84
FirstName10 LastName10  assistant 65901.14
FirstName11 LastName11  full 105141.73
FirstName12 LastName12  full 122788.82
FirstName13 LastName13  assistant 62412.86
FirstName14 LastName14  assistant 59766.67
FirstName15 LastName15  assistant 60826.48
FirstName16 LastName16  full 115314.70
FirstName17 LastName17  full 86850.20
FirstName18 LastName18  assistant 73647.13
FirstName19 LastName19  assistant 52050.48
FirstName20 LastName20  associate 77012.63
FirstName21 LastName21  full 75429.39
FirstName22 LastName22  full 103304.59
FirstName23 LastName23  associate 69852.00
FirstName24 LastName24  full 107169.87
FirstName25 LastName25  full 101554.95
FirstName26 LastName26  associate 102113.94
FirstName27 LastName27  full 89593.24
FirstName28 LastName28  associate 95571.22
FirstName29 LastName29  assistant 51789.09
FirstName30 LastName30  associate 60711.66
FirstName31 LastName31  full 76944.62
FirstName32 LastName32  assistant 67772.96
FirstName33 LastName33  full 120883.99
FirstName34 LastName34  full 100620.73
FirstName35 LastName35  assistant 54017.34
FirstName36 LastName36  assistant 59772.00
FirstName37 LastName37  assistant 72543.77
FirstName38 LastName38  associate 82002.14
FirstName39 LastName39  assistant 66854.54
FirstName40 LastName40  associate 109130.59
FirstName41 LastName41  associate 67198.57
FirstName42 LastName42  associate 79452.47
FirstName43 LastName43  assistant 75839.79
FirstName44 LastName44  full 107404.04
FirstName45 LastName45  associate 61657.57
FirstName46 LastName46  associate 103432.86
FirstName47 LastName47  full 127859.87
FirstName48 LastName48  assistant 70194.19
FirstName49 LastName49  assistant 75066.74
FirstName50 LastName50  associate 104135.79
FirstName51 LastName51  full 128254.06
FirstName52 LastName52  full 127676.97
FirstName53 LastName53  assistant 61105.85
FirstName54 LastName54  assistant 76540.73
FirstName55 LastName55  full 98486.52
FirstName56 LastName56  assistant 51054.15
FirstName57 LastName57  full 92112.00
FirstName58 LastName58  assistant 76794.64
FirstName59 LastName59  associate 100678.06
FirstName60 LastName60  assistant 53025.61
FirstName61 LastName61  associate 83969.11
FirstName62 LastName62  full 98568.72
FirstName63 LastName63  assistant 58590.03
FirstName64 LastName64  full 79504.49
FirstName65 LastName65  associate 90962.47
FirstName66 LastName66  associate 71395.49
FirstName67 LastName67  associate 108097.97
FirstName68 LastName68  assistant 72205.19
FirstName69 LastName69  assistant 66599.01
FirstName70 LastName70  assistant 78351.18
FirstName71 LastName71  full 87950.81
FirstName72 LastName72  associate 89158.27
FirstName73 LastName73  full 122332.84
FirstName74 LastName74  full 91079.77
FirstName75 LastName75  assistant 77455.72
FirstName76 LastName76  associate 93223.22
FirstName77 LastName77  assistant 64182.85
FirstName78 LastName78  associate 76636.11
FirstName79 LastName79  associate 69548.67
FirstName80 LastName80  assistant 68161.28
FirstName81 LastName81  assistant 74968.84
FirstName82 LastName82  assistant 76304.30
FirstName83 LastName83  full 113849.80
FirstName84 LastName84  assistant 62608.90
FirstName85 LastName85  full 102924.55
FirstName86 LastName86  full 85677.33
FirstName87 LastName87  assistant 57588.74
FirstName88 LastName88  associate 108882.39
FirstName89 LastName89  full 97566.27
FirstName90 LastName90  full 102199.69
FirstName91 LastName91  full 122175.53
FirstName92 LastName92  full 84803.52
FirstName93 LastName93  assistant 50190.39
FirstName94 LastName94  associate 104330.59
FirstName95 LastName95  assistant 58457.57
FirstName96 LastName96  associate 69176.24
FirstName97 LastName97  associate 68514.31
FirstName98 LastName98  full 117395.42
FirstName99 LastName99  full 86084.54
FirstName100 LastName100  full 90133.63
FirstName101 LastName101  associate 88623.22
FirstName102 LastName102  full 123071.89
FirstName103 LastName103  full 107386.98
FirstName104 LastName104  full 84820.16
FirstName105 LastName105  assistant 72397.78
FirstName106 LastName106  assistant 61469.34
FirstName107 LastName107  associate 63215.11
FirstName108 LastName108  associate 106599.86
FirstName109 LastName109  assistant 56934.26
FirstName110 LastName110  full 123366.58
FirstName111 LastName111  assistant 57158.49
FirstName112 LastName112  associate 91675.11
FirstName113 LastName113  full 98620.81
FirstName114 LastName114  full 77613.61
FirstName115 LastName115  associate 75716.43
FirstName116 LastName116  associate 92377.87
FirstName117 LastName117  associate 64138.18
FirstName118 LastName118  assistant 60139.79
FirstName119 LastName119  full 100662.41
FirstName120 LastName120  associate 65176.04
FirstName121 LastName121  associate 85044.83
FirstName122 LastName122  associate 63401.34
FirstName123 LastName123  full 117486.89
FirstName124 LastName124  associate 98401.49
FirstName125 LastName125  assistant 78357.44
FirstName126 LastName126  assistant 69547.07
FirstName127 LastName127  assistant 71258.60
FirstName128 LastName128  associate 91153.25
FirstName129 LastName129  full 119454.59
FirstName130 LastName130  full 125619.62
FirstName131 LastName131  full 101746.63
FirstName132 LastName132  full 115269.84
FirstName133 LastName133  associate 84221.09
FirstName134 LastName134  associate 97152.04
FirstName135 LastName135  full 115929.88
FirstName136 LastName136  associate 71321.53
FirstName137 LastName137  associate 63830.71
FirstName138 LastName138  assistant 61961.04
FirstName139 LastName139  associate 78366.83
FirstName140 LastName140  assistant 64773.66
FirstName141 LastName141  associate 76655.37
FirstName142 LastName142  assistant 62367.36
FirstName143 LastName143  assistant 63589.83
FirstName144 LastName144  assistant 76830.83
FirstName145 LastName145  associate 82956.81
FirstName146 LastName146  assistant 74256.10
FirstName147 LastName147  full 113049.22
FirstName148 LastName148  full 108647.99
FirstName149 LastName149  associate 94898.63
FirstName150 LastName150  full 129574.25
FirstName151 LastName151  assistant 70541.17
FirstName152 LastName152  associate 81302.44
FirstName153 LastName153  full 120418.26
FirstName154 LastName154  associate 95538.35
FirstName155 LastName155  assistant 78935.02
FirstName156 LastName156  full 104491.92
FirstName157 LastName157  assistant 78649.59
FirstName158 LastName158  assistant 74198.17
FirstName159 LastName159  associate 97098.01
FirstName160 LastName160  assistant 72123.01
FirstName161 LastName161  assistant 58710.93
FirstName162 LastName162  full 114432.78
FirstName163 LastName163  assistant 69378.62
FirstName164 LastName164  assistant 66299.48
FirstName165 LastName165  full 115315.53
FirstName166 LastName166  full 125995.90
FirstName167 LastName167  associate 108841.03
FirstName168 LastName168  assistant 52539.98
FirstName169 LastName169  associate 83790.71
FirstName170 LastName170  full 120929.10
FirstName171 LastName171  full 88366.52
FirstName172 LastName172  full 122645.90
FirstName173 LastName173  associate 109294.16
FirstName174 LastName174  assistant 71995.06
FirstName175 LastName175  associate 60013.70
FirstName176 LastName176  assistant 71419.63
FirstName177 LastName177  associate 60887.10
FirstName178 LastName178  associate 103307.54
FirstName179 LastName179  associate 73130.95
FirstName180 LastName180  associate 84700.56
FirstName181 LastName181  associate 87621.37
FirstName182 LastName182  assistant 73108.25
FirstName183 LastName183  associate 60264.29
FirstName184 LastName184  full 99022.09
FirstName185 LastName185  assistant 74190.62
FirstName186 LastName186  associate 77585.57
FirstName187 LastName187  assistant 65860.27
FirstName188 LastName188  associate 67336.39
FirstName189 LastName189  assistant 71153.38
FirstName190 LastName190  assistant 62338.60
FirstName191 LastName191  associate 95142.82
FirstName192 LastName192  assistant 68927.70
FirstName193 LastName193  assistant 63992.44
FirstName194 LastName194  full 106460.58
